time,city,area,current_speed,free_speed,confidence,lat,lon
2026-03-31 18:54:49.104019,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:50.782383,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:52.663693,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:54.626453,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:56.497172,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:58.547129,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:55:00.380918,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:55:02.437028,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:55:04.334521,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:56:02.674088,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:07.480169,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:09.675821,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:11.927082,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:13.954613,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:15.868666,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:18.051953,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:20.029868,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:21.768337,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:23.617048,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:25.561307,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:27.308331,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:29.026286,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:30.777122,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:32.723172,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:35.003397,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:36.979055,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:39.179210,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:41.142097,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:42.975990,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:44.686099,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:46.463771,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:48.209780,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:49.989141,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:51.806727,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:53.630878,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:55.345187,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:56:57.082346,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:02.071146,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:03.952369,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:05.881320,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:07.998673,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:17.363750,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:20.168903,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:21.993576,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:23.789533,Delhi,Connaught Place,18,23,1,28.6315,77.2167
2026-03-31 18:57:25.731355,Delhi,Connaught Place,18,23,1,28.6315,77.2167
